Provinsi_Clean,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
KALIMANTAN SELATAN,2024,4.11,73.03,8.62,0.5560954063604244,0.4070247933884297,5.778000000000007,0.02660016625103906,0.4439045936395756,0.5929752066115703,0.26506650253970626
KALIMANTAN TENGAH,2019,4.98,70.91,8.51,0.46245583038869276,0.38429752066115697,5.883200000000001,0.06275976724854529,0.5375441696113072,0.615702479338843,0.3157836303754334
KALIMANTAN TENGAH,2020,4.82,71.05,8.59,0.46863957597173167,0.4008264462809916,5.840300000000005,0.05610972568578551,0.5313604240282683,0.5991735537190084,0.30729770079517493
KALIMANTAN TENGAH,2021,5.16,71.25,8.64,0.47747349823321583,0.41115702479338867,6.372300000000003,0.07024106400665003,0.5225265017667842,0.5888429752066113,0.3096470775746825
KALIMANTAN TENGAH,2022,5.28,71.63,8.65,0.4942579505300353,0.41322314049586795,6.63909999999999,0.07522859517871985,0.5057420494699647,0.586776859504132,0.30669228433117574
KALIMANTAN TENGAH,2023,5.11,72.2,8.73,0.5194346289752656,0.4297520661157026,7.485900000000007,0.0681629260182876,0.4805653710247344,0.5702479338842974,0.2923006610934236
KALIMANTAN TENGAH,2024,5.17,72.73,8.81,0.5428445229681982,0.44628099173553726,5.902100000000001,0.0706566916043225,0.4571554770318018,0.5537190082644627,0.2832187905645943
KALIMANTAN TIMUR,2019,5.94,76.61,9.7,0.7142226148409896,0.6301652892561982,5.977600000000003,0.1026600166251039,0.2857773851590104,0.3698347107438018,0.21103016600901542
KALIMANTAN TIMUR,2020,6.1,76.24,9.77,0.6978798586572439,0.6446280991735536,6.086000000000007,0.10931005818786363,0.3021201413427561,0.35537190082644643,0.2163654516620479
KALIMANTAN TIMUR,2021,6.54,76.88,9.84,0.7261484098939928,0.659090909090909,6.309500000000003,0.12759767248545298,0.27385159010600724,0.34090909090909105,0.21413613145634686
KALIMANTAN TIMUR,2022,6.31,77.44,9.92,0.7508833922261484,0.6756198347107436,6.1237999999999975,0.11803823773898584,0.24911660777385158,0.3243801652892564,0.19863013425949966
KALIMANTAN TIMUR,2023,6.11,78.2,9.99,0.7844522968197882,0.6900826446280994,6.0061000000000035,0.10972568578553613,0.21554770318021177,0.30991735537190057,0.1815106249212117
KALIMANTAN TIMUR,2024,5.78,78.83,10.02,0.8122791519434629,0.6962809917355373,5.894599999999992,0.09600997506234413,0.1877208480565371,0.30371900826446274,0.16506504360102575
KALIMANTAN UTARA,2019,6.63,71.15,8.94,0.4730565371024742,0.4731404958677685,8.012599999999999,0.13133832086450534,0.5269434628975258,0.5268595041322315,0.32912410012795673
KALIMANTAN UTARA,2020,6.8,70.63,9.0,0.45008833922261493,0.4855371900826446,7.272699999999994,0.1384039900249376,0.5499116607773851,0.5144628099173554,0.3370680552291554
KALIMANTAN UTARA,2021,7.36,71.19,9.11,0.4748233215547706,0.5082644628099173,7.890600000000006,0.1616791354945968,0.5251766784452294,0.49173553719008267,0.3367396787188838
KALIMANTAN UTARA,2022,6.77,71.83,9.27,0.5030918727915195,0.5413223140495866,8.628699999999997,0.13715710723192012,0.49690812720848054,0.45867768595041336,0.30938652896858687
KALIMANTAN UTARA,2023,6.45,72.49,9.34,0.5322438162544172,0.5557851239669422,7.1551000000000045,0.12385702410640062,0.4677561837455828,0.44421487603305776,0.2910983423834867
KALIMANTAN UTARA,2024,6.32,73.02,9.35,0.5556537102473498,0.5578512396694215,6.922600000000006,0.11845386533665833,0.4443462897526502,0.4421487603305785,0.2809605716602399
KEP. BANGKA BELITUNG,2019,4.62,71.3,7.98,0.47968197879858687,0.2747933884297522,6.290699999999999,0.0477971737323358,0.5203180212014131,0.7252066115702478,0.32503531554064136
KEP. BANGKA BELITUNG,2020,4.53,71.47,8.06,0.4871908127208484,0.29132231404958686,5.605399999999988,0.04405652535328344,0.5128091872791516,0.7086776859504131,0.31760655605046983
KEP. BANGKA BELITUNG,2021,4.9,71.69,8.08,0.49690812720848054,0.2954545454545454,6.137099999999991,0.0594347464671654,0.5030918727915195,0.7045454545454546,0.3215540259801295
KEP. BANGKA BELITUNG,2022,4.45,72.24,8.11,0.521201413427562,0.30165289256198347,6.162899999999999,0.040731504571903554,0.478798586572438,0.6983471074380165,0.3036747497452865
KEP. BANGKA BELITUNG,2023,4.52,72.85,8.25,0.5481448763250882,0.3305785123966942,5.728099999999994,0.04364089775561092,0.45185512367491176,0.6694214876033058,0.29126128350094016
