Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
JAWA TIMUR,2024,9.79,74.09,8.28,0.6968981793661497,0.5590659340659339,8.55739999999999,0.2142372881355932,0.30310182063385027,0.44093406593406614,0.2862360034447649
KALIMANTAN BARAT,2019,7.49,67.65,7.31,0.4797707349966285,0.42582417582417564,8.4313,0.13627118644067795,0.5202292650033715,0.5741758241758244,0.3390395375565153
KALIMANTAN BARAT,2020,7.17,67.66,7.37,0.48010788941335103,0.4340659340659341,7.8361999999999945,0.12542372881355932,0.519892110586649,0.5659340659340659,0.3318663107695875
KALIMANTAN BARAT,2021,7.15,67.9,7.45,0.48819959541470026,0.44505494505494503,8.501399999999991,0.12474576271186441,0.5118004045852997,0.554945054945055,0.3269020137205331
KALIMANTAN BARAT,2022,6.73,68.63,7.59,0.5128118678354683,0.4642857142857142,10.144200000000005,0.11050847457627119,0.4871881321645317,0.5357142857142858,0.30855353408035224
KALIMANTAN BARAT,2023,6.71,69.41,7.71,0.5391099123398513,0.4807692307692306,9.380900000000002,0.10983050847457626,0.4608900876601487,0.5192307692307694,0.29702843438148663
KALIMANTAN BARAT,2024,6.32,70.13,7.78,0.5633850303438972,0.4903846153846154,9.219100000000015,0.09661016949152543,0.4366149696561028,0.5096153846153846,0.2812126525656705
KALIMANTAN SELATAN,2019,4.55,70.72,8.2,0.583277140930546,0.5480769230769229,6.410199999999995,0.0366101694915254,0.41672285906945405,0.4519230769230771,0.23370655785121433
KALIMANTAN SELATAN,2020,4.38,70.91,8.29,0.5896830748482802,0.5604395604395602,6.3599999999999985,0.03084745762711863,0.4103169251517198,0.4395604395604398,0.22643089427116322
KALIMANTAN SELATAN,2021,4.83,71.28,8.34,0.6021577882670262,0.5673076923076923,6.5532000000000075,0.04610169491525423,0.39784221173297385,0.4326923076923077,0.2289419725159808
KALIMANTAN SELATAN,2022,4.49,71.84,8.46,0.6210384356035064,0.5837912087912089,6.385800000000005,0.03457627118644069,0.37896156439649364,0.41620879120879106,0.21421836315392667
KALIMANTAN SELATAN,2023,4.29,72.5,8.55,0.6432906271072152,0.5961538461538463,5.896200000000004,0.02779661016949153,0.3567093728927848,0.40384615384615374,0.20168034772181198
KALIMANTAN SELATAN,2024,4.11,73.03,8.62,0.6611598111935268,0.6057692307692306,5.623200000000005,0.021694915254237307,0.33884018880647315,0.3942307692307694,0.19134566811521447
KALIMANTAN TENGAH,2019,4.98,70.91,8.51,0.5896830748482802,0.5906593406593406,5.848700000000004,0.0511864406779661,0.4103169251517198,0.40934065934065944,0.2305564297526309
KALIMANTAN TENGAH,2020,4.82,71.05,8.59,0.5944032366824004,0.6016483516483515,6.199100000000007,0.04576271186440678,0.40559676331759964,0.3983516483516485,0.22423071459781296
KALIMANTAN TENGAH,2021,5.16,71.25,8.64,0.6011463250168576,0.6085164835164836,6.169200000000001,0.05728813559322035,0.3988536749831424,0.3914835164835164,0.2265968735882562
KALIMANTAN TENGAH,2022,5.28,71.63,8.65,0.6139581928523261,0.6098901098901099,6.753499999999992,0.061355932203389835,0.3860418071476739,0.39010989010989006,0.2245124862679751
KALIMANTAN TENGAH,2023,5.11,72.2,8.73,0.6331759946055293,0.6208791208791209,7.212700000000008,0.05559322033898306,0.3668240053944707,0.3791208791208791,0.21366798761200856
KALIMANTAN TENGAH,2024,5.17,72.73,8.81,0.651045178691841,0.6318681318681318,5.977500000000001,0.057627118644067776,0.348954821308159,0.36813186813186816,0.2071263793408552
KALIMANTAN TIMUR,2019,5.94,76.61,9.7,0.78186109238031,0.7541208791208789,6.219100000000008,0.08372881355932205,0.21813890761969001,0.24587912087912112,0.15648190324139225
KALIMANTAN TIMUR,2020,6.1,76.24,9.77,0.769386378961564,0.7637362637362635,6.164300000000008,0.08915254237288134,0.23061362103843597,0.23626373626373653,0.16101310475071878
KALIMANTAN TIMUR,2021,6.54,76.88,9.84,0.7909642616318273,0.7733516483516483,6.382500000000002,0.10406779661016949,0.20903573836817269,0.22664835164835173,0.1600742901452069
